8.14,4.24,2.43,2.02,1.65,1.07,0.67,0.53,0.52
8.12,4.36,2.50,2.06,1.74,1.04,0.84,0.81,0.77
8.28,4.54,2.80,2.07,1.70,1.27,1.32,1.24,1.25
8.64,4.62,2.65,2.11,1.78,1.70,1.82,1.69,2.02
8.74,4.64,2.67,2.27,2.10,2.03,2.27,2.29,2.29
8.97,4.71,3.36,3.45,3.48,3.55,4.46,4.44,4.31
9.13,6.08,6.16,6.04,6.52,7.26,8.96,8.80,8.91
9.92,9.37,9.30,9.24,9.86,11.03,13.70,13.90,13.92
10.17,10.56,10.53,10.46,10.97,12.41,15.87,15.69,15.84
0.83,1.29,2.11,2.79,3.53,6.65,8.99,9.48,
